temperature,ph_level,moisture_content,total_plate_count,coliform_count,storage_time_days,water_activity,food_type,packaging_type,supplier_id,safety_status
18.42,4.09,93.78,2111.98,155.79,159.0,0.9642,produce,canned,SUP016,unsafe
-12.77,6.97,85.82,8669.5,1090.87,160.0,0.7893,dairy,frozen,SUP009,safe
-16.09,5.75,75.18,2632.95,299.02,435.0,0.7536,dairy,frozen,SUP013,safe
-18.86,3.89,74.23,6040.59,1002.08,279.0,0.766,processed,frozen,SUP012,safe
2.65,3.95,63.63,741.49,38.43,83.0,0.7492,processed,vacuum,SUP017,safe
14.22,6.48,13.89,,3232.84,715.0,0.4012,grain,canned,SUP002,unsafe
-15.97,5.91,85.82,1486.43,324.16,455.0,0.965,meat,frozen,SUP013,safe
,7.13,97.12,31429.9,2034.93,8.0,0.891,dairy,ambient,SUP001,unsafe
2.34,6.04,90.82,744.55,33.28,8.0,0.8206,produce,refrigerated,SUP019,safe
15.83,,83.26,150549.59,7084.93,14.0,0.9306,seafood,ambient,SUP011,unsafe
0.47,6.44,98.0,3947.18,172.28,6.0,0.8655,dairy,refrigerated,SUP005,safe
-9.31,6.59,70.54,76170.83,13289.32,,,seafood,frozen,SUP001,safe
8.67,6.33,,2011.37,293.88,23.0,0.8881,dairy,vacuum,SUP020,safe
9.19,4.23,47.75,1536.7,197.06,13.0,0.5069,processed,refrigerated,SUP013,safe
-12.38,6.11,85.25,18160.33,2304.24,86.0,0.8354,meat,frozen,SUP008,safe
-15.29,6.36,89.95,357.74,39.96,67.0,0.9296,produce,frozen,SUP006,safe
-10.03,5.15,73.38,,156.35,78.0,0.7159,meat,frozen,SUP017,safe
-14.1,8.03,79.66,10418.49,736.51,,0.8466,seafood,frozen,SUP012,safe
14.66,7.09,74.68,3937.4,268.49,335.0,0.8236,seafood,canned,SUP001,unsafe
-14.13,6.69,82.3,24865.12,5723.06,656.0,0.7714,dairy,frozen,SUP003,unsafe
-2.84,3.64,63.79,4237.46,,80.0,0.7033,processed,vacuum,SUP014,safe
8.81,4.55,5.0,1607.52,413.12,9.0,0.4114,grain,refrigerated,SUP008,safe
7.47,5.12,37.61,13752.97,1548.25,12.0,0.577,processed,vacuum,SUP011,safe
6.99,,5.0,301.01,25.0,50.0,0.3194,grain,vacuum,SUP014,safe
13.81,4.96,79.22,83400.75,5626.8,473.0,0.8357,produce,canned,SUP008,unsafe
4.49,6.34,65.1,4335.17,1142.13,8.0,0.6889,processed,refrigerated,SUP003,safe
12.21,7.09,97.58,6141.72,549.24,95.0,0.9899,dairy,canned,SUP007,unsafe
10.85,,90.92,1553.67,49.24,5.0,0.9466,dairy,aerated,SUP019,safe
-17.92,6.52,78.62,3342.45,377.99,52.0,0.8171,dairy,frozen,SUP004,safe
14.56,7.78,83.35,15367.85,2588.11,730.0,0.8533,meat,canned,SUP016,unsafe
20.68,4.81,54.12,38409.77,3977.65,29.0,0.6018,meat,ambient,SUP013,unsafe
18.4,6.22,91.42,56936.85,2492.92,10.0,0.8266,meat,ambient,SUP020,unsafe
,5.74,5.15,11740.58,1205.65,43.0,0.3147,grain,frozen,SUP019,safe
11.03,6.37,67.38,27413.95,1609.79,460.0,0.7336,meat,canned,SUP005,unsafe
1.1,6.81,65.71,2107.73,109.97,17.0,0.7802,meat,refrigerated,SUP005,safe
6.71,6.69,69.27,3473.5,40.24,40.0,0.7964,seafood,vacuum,SUP020,safe
-11.96,7.4,98.0,2772.54,192.07,171.0,0.9462,dairy,frozen,SUP004,safe
8.38,7.78,19.89,9766.65,1602.83,337.0,0.4888,grain,canned,SUP002,safe
20.57,6.55,97.15,21253.06,1751.21,,0.8843,dairy,ambient,SUP013,unsafe
4.37,5.63,37.76,215516.7,26545.19,124.0,0.5993,processed,vacuum,SUP016,unsafe
-14.58,5.53,13.81,1050.69,90.95,117.0,,grain,frozen,SUP002,safe
-0.02,6.52,90.21,,23.07,0.0,0.9484,dairy,refrigerated,SUP019,safe
-16.55,6.36,87.71,1408.49,129.28,77.0,0.8694,dairy,frozen,SUP017,safe
8.9,6.64,5.0,19027.03,1501.06,6.0,0.3,grain,vacuum,SUP005,safe
19.1,6.46,98.0,1218.59,18.86,13.0,0.9735,produce,ambient,SUP018,unsafe
-15.15,5.41,91.22,12316.98,1988.17,168.0,0.9334,produce,frozen,SUP018,safe
-14.35,7.23,5.0,556.63,106.12,4.0,0.3097,grain,frozen,SUP008,safe
10.47,7.72,66.45,1316.05,151.85,14.0,0.7133,dairy,aerated,SUP015,safe
-12.68,6.48,76.07,5958.77,883.78,169.0,0.7865,meat,frozen,SUP013,safe
13.77,6.09,98.0,,15528.16,127.0,0.8407,dairy,canned,SUP013,unsafe
,5.51,5.0,3210.59,43.9,16.0,0.3,grain,vacuum,SUP016,safe
8.91,4.85,91.7,5564.48,1068.03,28.0,0.9612,produce,vacuum,SUP020,unsafe
5.24,6.56,81.1,643.7,65.28,3.0,0.786,meat,refrigerated,SUP013,safe
9.16,5.53,72.3,5376.76,503.22,0.0,0.8627,dairy,aerated,SUP020,safe
7.97,,65.2,691.23,16.31,1.0,0.7923,meat,vacuum,SUP002,safe
-13.06,4.94,61.4,1559.21,,79.0,0.7774,meat,frozen,SUP003,safe
7.18,6.16,98.0,5722.2,338.04,1.0,0.9045,produce,refrigerated,SUP015,safe
8.7,5.51,98.0,175.34,23.39,1.0,0.8566,produce,vacuum,SUP019,safe
-17.05,7.07,13.59,13519.49,1586.85,352.0,0.334,grain,frozen,SUP013,safe
2.74,7.91,71.58,591.76,32.48,14.0,,seafood,vacuum,SUP005,safe
3.9,7.65,80.57,2909.03,156.8,31.0,0.7051,dairy,vacuum,SUP006,safe
8.93,6.67,,12814.41,1216.51,8.0,0.8202,produce,vacuum,SUP014,safe
-0.73,6.11,5.0,8976.42,1243.31,0.0,0.3224,grain,refrigerated,SUP004,safe
7.18,4.57,88.98,1854.66,,61.0,0.8136,produce,vacuum,SUP019,safe
7.09,5.16,17.75,45.43,7.79,6.0,0.3633,grain,vacuum,SUP007,safe
17.49,5.33,84.9,43910.54,,9.0,0.8408,seafood,canned,SUP004,unsafe
4.54,6.13,79.92,767.62,60.57,12.0,0.8373,seafood,refrigerated,SUP002,safe
4.97,7.06,80.57,134625.34,13147.52,0.0,0.7792,seafood,aerated,SUP007,unsafe
11.12,6.05,84.18,22584.36,3779.61,,0.8618,dairy,canned,SUP003,unsafe
2.45,6.36,72.03,,3.54,15.0,0.775,dairy,vacuum,SUP015,safe
12.39,6.89,86.6,937.29,146.2,140.0,0.8653,dairy,canned,SUP001,unsafe
-14.55,5.26,84.16,1018.11,59.1,0.0,0.8145,produce,frozen,SUP002,safe
-17.5,4.9,56.53,120.74,0.99,600.0,0.6008,meat,frozen,SUP010,safe
18.41,6.96,83.71,2972.89,248.62,265.0,0.9289,seafood,canned,SUP016,unsafe
10.02,4.28,43.88,10655.95,415.11,310.0,0.6168,processed,canned,SUP015,unsafe
10.04,5.58,72.28,5910.04,436.62,49.0,0.8201,meat,vacuum,SUP015,safe
17.56,8.07,88.48,70547.45,4821.31,582.0,0.8709,seafood,canned,SUP014,unsafe
8.69,5.78,5.0,4173.05,173.97,42.0,0.3243,grain,vacuum,SUP014,safe
1.92,7.22,70.92,327.6,27.8,20.0,0.7855,meat,refrigerated,SUP006,safe
20.03,,66.9,939.65,68.47,17.0,0.6431,dairy,ambient,SUP014,safe
15.17,5.34,85.33,22794.76,2456.29,13.0,0.7989,meat,ambient,SUP017,unsafe
6.73,5.61,71.41,43702.7,6716.47,24.0,0.7243,dairy,refrigerated,SUP018,safe
-14.22,4.96,44.85,759.06,124.98,360.0,0.5688,processed,frozen,SUP020,safe
2.77,6.92,25.38,2691.21,104.66,2.0,0.421,grain,refrigerated,SUP019,safe
5.33,5.11,87.65,18949.15,786.98,5.0,0.8864,produce,aerated,SUP017,safe
-20.0,6.73,5.0,1433.48,230.71,207.0,0.3366,grain,frozen,SUP016,safe
-17.12,6.97,19.13,688.56,38.89,15.0,0.494,grain,frozen,SUP008,safe
-10.66,5.88,91.91,4969.08,424.37,477.0,0.99,dairy,frozen,SUP007,unsafe
2.79,5.46,5.67,28197.19,3935.76,10.0,0.3,grain,refrigerated,SUP020,safe
8.49,7.57,74.75,6134.89,494.75,7.0,0.7932,seafood,aerated,SUP012,safe
15.97,,7.65,6051.84,229.82,71.0,0.357,grain,canned,SUP009,safe
24.42,5.45,9.93,6757.38,577.62,9.0,0.3638,grain,ambient,SUP014,safe
9.98,5.52,51.07,1041.42,143.78,5.0,0.5777,meat,vacuum,SUP020,safe
-16.92,6.44,83.19,2207.68,104.79,55.0,0.7948,dairy,frozen,SUP001,safe
13.17,4.55,87.84,5040.87,379.53,20.0,0.883,meat,ambient,SUP010,unsafe
-6.92,7.61,71.04,3289.42,261.16,322.0,0.7145,seafood,frozen,SUP017,safe
-7.19,5.62,6.17,2366.05,357.41,137.0,0.348,grain,frozen,SUP017,safe
9.57,,5.0,,139.74,1.0,0.3202,grain,aerated,SUP017,safe
10.19,6.48,91.12,1209.95,8.3,,0.8994,dairy,canned,SUP004,safe
6.89,6.41,92.03,12135.0,368.43,13.0,0.8505,seafood,refrigerated,SUP017,safe
-14.32,8.35,91.8,1470.81,126.79,98.0,0.9046,seafood,frozen,SUP018,safe
-14.34,5.33,57.52,6045.18,493.27,730.0,0.6298,meat,frozen,SUP020,safe
8.68,5.62,90.0,435.49,55.12,68.0,0.893,dairy,vacuum,SUP002,safe
7.0,6.21,84.34,33085.52,,74.0,0.9152,meat,vacuum,SUP008,unsafe
15.44,4.47,55.1,,,,0.6712,processed,ambient,SUP013,unsafe
13.03,5.18,74.78,83970.34,3476.96,549.0,0.8022,meat,canned,SUP020,unsafe
-12.02,7.41,75.28,4650.64,,38.0,0.8302,seafood,frozen,SUP015,safe
7.53,4.67,92.2,618.92,73.33,,0.8291,produce,vacuum,SUP020,safe
4.79,4.63,82.36,8461.15,1188.13,8.0,0.9213,meat,refrigerated,SUP009,safe
21.8,6.38,53.28,2563.92,107.21,25.0,0.5936,processed,ambient,SUP003,safe
-15.09,5.46,37.52,306.58,36.43,25.0,0.5878,processed,frozen,SUP003,safe
6.54,,65.44,,238.6,27.0,0.7627,meat,vacuum,SUP002,safe
-20.0,7.0,92.09,21425.77,3072.45,6.0,0.8535,seafood,frozen,SUP001,safe
2.65,6.2,73.25,40959.79,,0.0,0.8266,meat,refrigerated,SUP014,safe
16.29,6.58,71.19,53357.62,7170.11,391.0,,meat,canned,SUP017,unsafe
2.83,5.9,79.46,5660.33,394.96,42.0,0.911,dairy,refrigerated,SUP013,safe
-15.4,5.79,98.0,3961.24,179.79,,0.9467,produce,frozen,SUP019,safe
0.88,6.59,96.62,1310.64,126.51,8.0,0.9226,seafood,refrigerated,SUP015,safe
-10.99,6.35,97.63,1993.15,170.75,10.0,0.9089,dairy,frozen,SUP014,safe
,5.93,84.43,18424.67,1839.22,2.0,0.7616,meat,vacuum,SUP002,safe
16.48,4.99,46.41,85304.5,9562.94,62.0,0.5858,processed,canned,SUP007,unsafe
3.82,6.39,65.0,1119.67,37.66,26.0,0.7087,meat,aerated,SUP017,safe
18.52,6.89,83.44,479.02,9.24,15.0,0.8554,dairy,ambient,SUP018,safe
3.16,5.79,80.39,1827.74,373.67,25.0,0.7514,seafood,refrigerated,SUP006,safe
3.16,,64.31,13941.9,,17.0,0.7061,processed,refrigerated,SUP008,safe
12.15,5.5,81.66,398926.25,,339.0,0.8596,meat,canned,SUP002,unsafe
4.96,,95.38,65032.51,4569.55,132.0,0.9538,produce,vacuum,SUP001,unsafe
6.55,5.32,5.0,11371.4,962.79,3.0,0.3,grain,refrigerated,SUP016,safe
-19.74,,53.12,458.42,72.17,109.0,0.6806,meat,frozen,SUP007,safe
14.33,,92.4,2493.53,315.9,14.0,0.8883,produce,aerated,SUP011,unsafe
-12.55,5.36,78.8,439.86,67.43,144.0,0.803,meat,frozen,SUP015,safe
5.87,5.64,89.2,1655.54,75.49,12.0,0.7616,produce,vacuum,SUP013,safe
16.72,6.62,98.0,56537.38,759.26,85.0,0.99,produce,canned,SUP002,unsafe
-18.36,7.36,69.18,34768.84,4322.69,251.0,0.7585,seafood,frozen,SUP014,safe
4.01,5.86,72.92,5859.83,303.78,0.0,0.6974,dairy,vacuum,SUP006,safe
18.64,8.2,5.36,2577.46,85.32,73.0,0.3536,grain,ambient,SUP009,safe
13.1,5.86,62.98,1108.29,108.54,0.0,0.7266,meat,aerated,SUP007,safe
5.86,6.04,90.26,6206.3,322.25,44.0,0.9478,dairy,vacuum,SUP018,unsafe
10.35,7.63,80.78,8059.31,649.84,6.0,0.8096,dairy,aerated,SUP009,safe
2.23,5.12,74.52,450.46,124.14,12.0,0.785,produce,refrigerated,SUP004,safe
15.46,6.83,98.0,67700.74,13557.77,234.0,0.9049,produce,canned,SUP009,unsafe
-8.97,5.8,67.4,3170.59,334.02,344.0,0.768,dairy,frozen,SUP004,safe
8.99,8.14,69.29,18485.02,5420.68,48.0,0.7112,seafood,vacuum,SUP012,unsafe
5.76,5.96,53.77,3646.06,182.17,68.0,0.6049,meat,vacuum,SUP004,safe
16.03,,92.07,15817.94,703.28,44.0,0.8951,produce,canned,SUP020,unsafe
5.73,8.02,86.86,1650.66,135.66,0.0,0.8033,dairy,refrigerated,SUP014,safe
5.52,4.59,98.0,4195.13,147.49,0.0,0.99,produce,refrigerated,SUP007,safe
9.34,6.82,79.14,18622.66,2254.06,7.0,0.9108,meat,vacuum,SUP013,unsafe
-10.69,3.87,64.42,2610.91,,,0.696,processed,frozen,SUP008,safe
18.62,5.66,87.89,1649.89,49.97,20.0,0.8019,dairy,ambient,SUP005,safe
15.93,5.16,60.23,,2567.83,,0.7083,meat,canned,SUP012,unsafe
2.85,6.9,86.28,8062.61,76.41,2.0,0.8367,dairy,refrigerated,SUP013,safe
3.23,5.03,55.92,29511.83,656.76,20.0,0.7222,processed,vacuum,SUP020,safe
18.19,5.87,19.04,21851.97,2334.37,65.0,0.3844,grain,ambient,SUP014,safe
3.77,5.92,65.28,3914.26,322.72,38.0,0.7515,meat,refrigerated,SUP018,safe
14.02,5.97,94.89,4736.76,503.76,76.0,0.9225,produce,ambient,SUP020,unsafe
6.58,6.53,5.0,1242.21,52.67,23.0,0.3,grain,refrigerated,SUP004,safe
5.7,6.38,79.57,7298.6,995.44,425.0,0.8292,produce,canned,SUP018,unsafe
27.14,8.46,68.84,30118.01,4696.48,73.0,0.7914,seafood,ambient,SUP007,unsafe
13.51,5.78,70.25,29357.98,3287.26,8.0,0.7609,meat,aerated,SUP015,unsafe
13.22,6.08,73.22,294626.06,20893.63,730.0,0.7808,dairy,canned,SUP006,unsafe
4.03,6.49,7.75,805.17,43.16,,0.3068,grain,refrigerated,SUP016,safe
4.91,4.08,59.03,2036.02,42.63,35.0,0.7409,processed,refrigerated,SUP020,safe
17.23,4.96,79.71,5092.86,261.56,24.0,0.8703,produce,ambient,SUP008,unsafe
9.58,6.6,64.96,246.59,17.75,0.0,0.7017,meat,aerated,SUP016,safe
3.57,5.7,70.72,642.07,62.16,3.0,0.7534,meat,refrigerated,SUP016,safe
3.72,4.53,92.47,6381.11,84.33,26.0,0.9718,produce,refrigerated,SUP003,safe
6.54,4.81,7.01,3153.77,270.72,31.0,0.3,grain,vacuum,SUP017,safe
10.06,6.04,19.87,41620.74,2577.71,730.0,0.4594,grain,canned,SUP009,unsafe
9.12,6.91,17.9,688.41,14.2,0.0,0.3884,grain,aerated,SUP003,safe
14.49,6.4,98.0,8416.06,520.13,194.0,0.99,produce,canned,SUP020,unsafe
19.39,6.59,84.18,6489.67,753.63,12.0,0.8504,dairy,ambient,SUP007,unsafe
-14.65,8.11,79.87,1890.11,206.0,130.0,0.8822,dairy,frozen,SUP018,safe
7.41,5.92,5.17,4964.9,394.21,14.0,0.3,grain,refrigerated,SUP012,safe
17.94,5.39,93.07,1333.66,279.33,32.0,0.8425,produce,ambient,SUP019,unsafe
14.68,4.45,81.23,1273.67,58.46,0.0,0.8163,dairy,canned,SUP016,safe
7.89,,79.31,3514.19,343.11,1.0,0.8286,dairy,refrigerated,SUP017,safe
,6.18,85.52,945.7,56.9,13.0,0.8303,produce,canned,SUP020,safe
4.64,7.75,78.16,308.34,72.2,27.0,0.846,dairy,refrigerated,SUP015,safe
5.71,5.84,86.99,588.04,25.62,16.0,0.8549,dairy,vacuum,SUP001,safe
22.71,7.37,65.87,4776.91,477.32,13.0,0.6241,seafood,ambient,SUP002,safe
8.23,,93.03,18142.62,,4.0,0.9323,produce,aerated,SUP008,unsafe
17.85,5.51,96.77,167027.7,18774.43,690.0,0.8848,produce,canned,SUP002,unsafe
3.69,3.97,64.19,37412.86,,,0.6992,meat,refrigerated,SUP019,safe
11.42,5.7,98.0,11968.87,711.78,46.0,0.99,produce,canned,SUP009,unsafe
-11.96,6.41,70.18,6111.15,514.13,208.0,0.8448,meat,frozen,SUP009,safe
13.09,5.04,54.39,22319.39,5704.34,730.0,0.6247,meat,canned,SUP013,unsafe
5.86,5.3,87.19,4463.4,136.76,14.0,0.8956,produce,refrigerated,SUP006,safe
0.81,4.58,90.63,99080.92,6451.88,2.0,0.8615,produce,aerated,SUP015,unsafe
6.02,3.94,16.49,3178.34,206.63,33.0,0.3928,grain,vacuum,SUP019,safe
7.62,6.32,87.43,,873.19,,0.838,produce,aerated,SUP015,safe
-17.19,5.5,79.88,395.01,92.27,135.0,0.733,produce,frozen,SUP018,safe
4.34,7.78,74.05,8416.2,1830.67,21.0,0.7861,dairy,vacuum,SUP007,safe
12.28,6.49,63.46,23064.85,,,0.7269,meat,canned,SUP011,unsafe
,5.52,64.42,202544.72,3164.62,730.0,0.6852,meat,canned,SUP008,unsafe
1.9,5.73,58.65,10421.93,374.61,57.0,0.7356,meat,vacuum,SUP006,safe
-13.05,5.45,,1809.44,252.53,209.0,0.5556,processed,frozen,SUP008,safe
8.1,6.57,76.59,46309.98,935.83,3.0,0.766,meat,refrigerated,SUP002,safe
6.84,6.26,28.48,,,,0.5115,grain,vacuum,SUP019,safe
-11.57,6.38,97.55,3692.57,104.83,79.0,0.857,produce,frozen,SUP016,safe
7.28,,25.06,17971.37,1581.36,3.0,0.5082,grain,refrigerated,SUP007,safe
17.71,6.2,89.74,332483.48,30753.62,730.0,0.8632,seafood,canned,SUP010,unsafe
9.61,5.45,98.0,26161.25,906.95,6.0,0.9865,produce,refrigerated,SUP012,unsafe
12.5,7.16,76.62,210217.21,21969.3,121.0,0.8624,seafood,canned,SUP017,unsafe
,5.54,86.41,157.46,21.01,483.0,0.8937,dairy,frozen,SUP007,safe
8.35,4.43,85.79,2803.24,109.86,9.0,0.8171,produce,vacuum,SUP008,safe
6.12,6.16,67.81,3796.7,225.57,19.0,0.6782,meat,refrigerated,SUP007,safe
6.33,6.17,85.68,1768.79,268.13,14.0,0.7852,dairy,refrigerated,SUP004,safe
,5.37,97.14,3070.22,488.63,113.0,0.9865,produce,vacuum,SUP003,unsafe
14.03,6.21,89.23,3560.22,137.06,651.0,0.8733,dairy,canned,SUP019,unsafe
20.28,6.22,48.38,3794.38,374.77,36.0,0.5845,processed,ambient,SUP015,safe
11.06,6.01,50.56,22301.0,1122.16,137.0,0.622,processed,canned,SUP004,safe
-7.59,4.01,54.33,9698.28,1497.87,123.0,0.7072,processed,frozen,SUP009,safe
17.99,5.37,76.67,3528.26,132.6,86.0,0.8373,meat,ambient,SUP013,unsafe
3.08,7.18,69.81,5532.08,497.07,0.0,0.7757,dairy,refrigerated,SUP018,safe
-15.04,5.48,39.23,20242.88,432.42,284.0,0.5869,processed,frozen,SUP016,safe
2.07,6.97,91.07,516.93,44.36,4.0,0.901,seafood,refrigerated,SUP001,safe
1.81,4.09,49.39,2203.21,277.2,2.0,0.6361,processed,refrigerated,SUP004,safe
-15.57,4.45,45.76,2172.95,74.96,47.0,0.6085,processed,frozen,SUP018,safe
-18.1,5.59,9.37,1015.14,26.0,11.0,0.3609,grain,frozen,SUP008,safe
11.64,6.02,67.36,151869.64,10152.8,730.0,0.7755,meat,canned,SUP020,unsafe
24.85,7.16,75.58,1359.04,73.03,61.0,0.8093,meat,ambient,SUP016,unsafe
6.21,5.45,5.0,367.5,26.23,10.0,0.3,grain,refrigerated,SUP011,safe
8.78,4.98,70.25,16727.9,87.46,56.0,0.7831,meat,vacuum,SUP020,safe
7.53,6.41,87.46,485.1,35.71,11.0,0.8809,dairy,refrigerated,SUP019,safe
-8.5,6.33,93.96,26678.66,823.92,300.0,0.9413,produce,frozen,SUP019,unsafe
0.69,3.84,52.23,6504.44,559.42,83.0,0.6343,processed,vacuum,SUP018,safe
,6.66,95.16,8420.56,802.81,47.0,0.9591,produce,frozen,SUP019,safe
11.59,5.36,84.27,6079.08,1469.45,224.0,0.8447,produce,canned,SUP011,unsafe
2.59,5.91,75.58,9729.12,67.42,14.0,0.8275,dairy,refrigerated,SUP003,safe
8.1,4.22,98.0,1232.84,71.65,26.0,0.9142,produce,aerated,SUP008,safe
2.66,5.57,46.99,1450.9,112.16,16.0,0.5861,processed,refrigerated,SUP020,safe
-13.34,6.36,83.16,7851.79,847.6,,0.8706,dairy,frozen,SUP019,safe
6.11,7.14,86.78,1730.02,93.03,84.0,0.8475,seafood,vacuum,SUP010,safe
16.83,5.28,27.96,7162.7,,26.0,0.592,grain,ambient,SUP016,safe
-20.0,5.24,84.55,1001.31,56.22,403.0,0.8779,produce,frozen,SUP005,safe
6.02,5.11,80.01,7514.63,329.35,3.0,0.8213,produce,aerated,SUP020,safe
-15.65,5.42,77.58,35682.44,1300.21,85.0,0.8453,produce,frozen,SUP009,safe
3.26,5.26,85.93,732.33,63.85,21.0,0.8345,meat,refrigerated,SUP008,safe
10.61,4.57,59.62,5586.97,363.73,52.0,0.7337,meat,canned,SUP011,safe
4.53,8.18,11.72,,15.78,16.0,0.421,grain,vacuum,SUP016,safe
2.61,4.91,5.0,548.02,101.82,42.0,0.3952,grain,vacuum,SUP007,safe
8.62,6.15,5.0,5299.99,1300.58,3.0,0.3105,grain,aerated,SUP015,safe
0.78,3.58,47.08,1272.46,103.21,39.0,0.5449,processed,refrigerated,SUP020,safe
-16.55,5.4,70.62,22589.37,534.04,572.0,0.7285,seafood,frozen,SUP017,safe
5.07,7.08,,7232.73,1755.67,4.0,0.761,seafood,aerated,SUP006,safe
5.54,6.14,32.06,2951.52,57.95,,0.5918,grain,vacuum,SUP015,safe
11.4,6.51,94.25,7003.69,1515.58,470.0,0.99,produce,canned,SUP008,unsafe
21.72,5.82,98.0,38280.91,8709.54,18.0,0.9542,produce,ambient,SUP007,unsafe
15.22,5.88,20.25,6159.53,250.58,76.0,0.4321,grain,canned,SUP002,safe
18.79,5.24,10.99,352.44,60.35,41.0,0.3539,grain,ambient,SUP013,safe
-16.39,7.0,65.6,770.38,87.98,240.0,0.7677,meat,frozen,SUP006,safe
7.14,6.54,72.49,96.51,2.17,12.0,0.8806,meat,vacuum,SUP005,safe
6.07,5.5,86.68,917.2,62.12,25.0,0.9527,dairy,refrigerated,SUP020,safe
-13.57,5.53,84.31,2575.69,159.96,171.0,0.9049,produce,frozen,SUP001,safe
8.81,6.62,86.3,1430.28,399.58,,0.9171,dairy,refrigerated,SUP018,safe
20.38,6.72,72.94,2846.8,508.71,31.0,0.8157,seafood,ambient,SUP015,unsafe
8.74,7.62,78.29,44968.01,2069.13,11.0,0.8065,seafood,vacuum,SUP010,unsafe
6.4,,66.65,18711.37,2083.73,13.0,0.6964,meat,vacuum,SUP003,safe
6.03,5.35,77.31,1807.59,53.06,26.0,0.8015,produce,refrigerated,SUP005,safe
6.61,6.28,61.49,14181.56,908.49,18.0,0.7208,dairy,aerated,SUP013,safe
4.62,7.7,75.61,24066.16,2750.7,13.0,0.7188,dairy,vacuum,SUP008,safe
7.05,6.75,30.04,8805.05,108.75,118.0,0.4876,grain,vacuum,SUP002,safe
7.03,5.86,66.9,6374.31,241.02,12.0,0.6936,meat,vacuum,SUP009,safe
5.52,5.2,92.76,33856.73,3598.02,1.0,0.9536,dairy,refrigerated,SUP017,unsafe
9.3,7.28,58.76,12719.73,1511.3,2.0,0.6544,seafood,vacuum,SUP018,safe
-18.27,,5.0,162.08,2.96,49.0,0.3489,grain,frozen,SUP013,safe
-16.92,3.6,56.46,1180.1,131.28,87.0,0.632,meat,frozen,SUP001,safe
14.69,5.7,87.98,30954.39,,730.0,0.9517,produce,canned,SUP012,unsafe
3.83,6.17,98.0,28213.51,4286.06,12.0,0.852,dairy,vacuum,SUP020,unsafe
14.13,6.32,89.6,,90.9,6.0,0.9062,dairy,refrigerated,SUP020,unsafe
7.55,6.27,96.96,2230.67,,,0.8664,seafood,vacuum,SUP005,safe
3.77,6.88,77.46,19462.4,882.42,5.0,0.778,seafood,refrigerated,SUP008,safe
2.45,6.61,98.0,8670.93,456.25,16.0,0.9473,produce,refrigerated,SUP015,safe
